a handful of,小撮；一把
a setback to,挫折；障礙
a wealth of,大量
abandon,放棄;拋棄
abbreviate,縮寫;節略
abnormally,反常地;異常地
abolish,取消;廢除
abolished,廢止的
abound in,充滿;盛滿
abroad,在國外;到國外
abrupt,突然的;意外的
abruptly,突然地;意外地
abstract,摘要;概括
abundance,大量
abundant,豐富的 ; 充裕的
abundantly,充裕地 ;大量地
accelerate,加速；加大
accept,接受 ; 認可
access,進入 ; 接近
accessible,易得到的 ; 易接近的
acclaim,歡呼 ; 喝采   
acclaim,承認 ; 公認
accommodate,容納 ; 運營
accommodation,招待設備 ; 膳宿供應
accompany,伴隨 ; 陪同
in accord with,與..一致
accordingly,因此
account,報告
account for,解釋 ; 說明
account for,構成 ; 解釋 (要看上下文)
accretion,增加 ; 累積
accumulate,累積；積聚
accumulation,累積
accurate,精確的 ; 準確的
be accustomed to,習慣於
achievement,成就 ; 成績
acknowledge,認知 ; 認可
acquaint with,了解 ; 認識
acquire,獲得 ; 取得
actively,積極地 ; 主動地
actually,實際上 ; 事實上
acute,尖銳的
adapt,變化 ; 適應
adaptation,改變 ; 變化
address,演說 ; 致辭
adept,熟練的
adequate,充分的 ; 足夠的
adhere,黏附；膠著
adjacent,鄰近的 ; 毗鄰的
adjoining,毗鄰的 ; 鄰近的
administered,管理
admire,羨慕 ; 欽佩
adopt,採用 ; 正式透過
adorn,裝飾
adornment,裝飾 ; 裝飾品
adult,成熟的 ; 成年的
advantage,有利
advantageous,有利的；有益的
advent,出現 ; 到來
adverse,有害的 ; 負面的
adversely,不利地；有害地
advocate,倡導者；辯護者
advocate,提倡 ; 倡議
aesthetically,審美地；美學地
affect,影響
affection,慈愛 ; 鐘愛
affectionately,充滿深情地 ; 親切地
affliction,折磨 ; 苦惱
affluence,富裕 ; 豐富
affluent,富裕的
afford,提供
affordable,負擔得起的
aggressive,好鬥的
agrarian,農業的 ; 耕地的
aggregation,群聚
ahead of,在…之前;在…前面
aid,幫助 ; 援助
aided,幫助
aim,目標 ; 目的
akin to,近似的
alarm,驚恐 ; 警覺
alert,機敏的
alliance,結盟
allegedly,所謂地
allegiance,忠誠 ; 忠心
alliance,聯盟 ; 同盟
allocate,分派 ; 配給
allude to,暗示 ; 提到
almost,幾乎 ; 差不多
alongside,傍靠 ; 緊靠
alter,改變 ; 變化 ; 調整
alteration,翻新 ; 整修
alternately,輪流地;交替地
alternative,替代；替代物
altitude,海拔 ; 高度
altogether,完全地
amass,累積
ambiguous,模糊的
ambition,野心 ; 抱負 ; 目標
ambitious,有野心的 ; 有抱負的
ambivalence,矛盾心理 ; 猶豫不決
amenity,舒適 ; 安逸
ample,充足的
an impetus to,刺激；推展
analogy,類似 ; 比擬
ancestor,祖先 ; 祖宗
anchor,弄牢 ; 固定
ancient,古老的 ; 古代的
annihilate,消滅；征服
annoying,惱人的 ; 討厭的
annual,每年的 ; 年度的
anonymous,無名的 ; 匿名的
antecedent,先輩
anticipate,期待；盼望
antique,古式的 ; 舊式的
anxious,渴望的 ; 焦慮的
apparent,明顯的
apparently,似乎 ; 好像
appeal,吸引力
appealing,有感染力的 ; 吸引人的
appear,似乎;好像
applaud,鼓掌 ; 喝采
appoint,選派 ; 任命
appreciably,明顯地 ; 相當地
appreciate,鑑賞 ; 賞識
appreciation,鑑賞；鑑別
approach,靠近 ; 接近
appropriate,適當的 ; 適宜的
approximate,估計 
approximately,近似 ; 大約
apt,貼切的 ; 恰當的
aptly,適當地
aquatic,水生的
arable,可耕種的
arbitrarily,任意地 ; 專橫地
ardent,熱心的 ; 熱情的
arid,乾旱的 ; 乾枯的
aromatic,芳香的 ; 芬芳的
arouse,喚起 ; 激發
arrange,安排 ; 整理
an array of,一系列的
article,物品；物體
artifact,文物
artificial,人工的 ; 合成的
as a result of,由於；因為
as well as,也；又
ascend,攀升；升高
ascertain,查明 ; 確定
aspiration,志氣；抱負
assemble,裝配；組合
assembly,集合；集會
assert,宣稱；斷言
assess,評估
asset,優點；長處
assimilate,同化 ; 吸收
assist,幫助；援助
associate,聯合；聯繫
assortment,形形色色；各式各樣
assume,採取(態度) ; 負起(責任)
assumption,設想；假定
astonishing,驚人的；震驚的
astonishment,驚奇 ; 驚愕
at once,立即；馬上
atmosphere,大氣；空氣
attach,依附；黏結
attachment,依戀；偏好
attain,達到
attempt,v. 嘗試　n. 努力
attend,出席；參加
attractive,吸引人的；有感染力的
attribute,品性 ; 屬性
attribute to,被認為；被鑑定為　
austere,嚴格的 ; 嚴厲的
authentically,真正地；地道地
authorities,專家 ; 權威人士
authorize,授權；批准
automatically,自動地；無意識地
autonomous,獨立的；自主的
autonomy,自治；自主
available,可得到的；可利用的
avert,擋開；防止
avid,渴望的；熱心的
award,授予；給予
awe,敬畏；畏懼
awesome,令人敬畏的；令人驚奇的
baffle,迷惑；困惑
balance,平衡；均衡
ban,禁止；阻止
band,n.條紋、帶；v.聯合；結合
bar,攔阻；禁止
barren,貧瘠的；不毛的
barrier to,障礙；妨礙
barter,易貨貿易；以物易物
basically,基本地；主要地
battle,v./n.戰鬥；鬥爭
be fond of,喜愛；愛好
be preoccupied with,出神的；全神貫注的
beam,光束；光線
bear,承擔；支撐
begin,開始；著手
behavior,行為；舉止
behind,在．．．後面
behold,觀看；注視
belong to,屬於；附屬
beneath,在．．下方；在．．之下
beneficial,有利的；有益的
besides,除此之外
better,改善；促進
beverage,飲料
beyond,在．．．之外
bias,偏見；嗜好
bind,捆；綁；使結合
biography,傳記
biological,生物的；活的
bizarrely,異乎尋常地；希奇古怪地
bleach,漂白；晒白
bleak,淒涼的；慘淡的
blend,混合；融合
blunder,錯誤；大錯
blunt,不鋒利的；鈍的
blurred,模糊的；(v.弄糊塗　blur ）
boast,誇口；自恃
boldly,大膽地；勇敢地
bombard,撞擊
bond,結合物；黏結劑
boost,提升；提升
bothersome,麻煩的；討厭的
bottom,底部；底
bound,範圍；界限
bound,限制
boundary,邊界；分界線
branch,部門；分支
brave,勇敢的；英勇的
break,決裂；破裂
break apart,分裂 ; 分離
break up,分裂；破碎
breathtaking,動人的；驚險的
breakthrough,突破
breed,繁殖
brevity,簡潔；精練
brew,蘊釀, 發展
brief,短暫的；短期的
brightness,光亮；明亮
brilliantly,鮮明地；明亮地
bring about,造成；帶來
briskly,輕快地
brittle,易碎的；脆弱的
broad,寬的；闊的；廣泛的；概括的
broaden,加寬；拓寬
broadly,廣義地；概括地
bulk,大部分；大多數
burdensome,困難的
burgeoning,萌芽的
bury,埋葬；埋藏
bustling,擾攘的
by and large,整體來看；一般說來
by chance,意外地；突然地
by-product,副產品；派生物
calculate,計算；確定
caliber,才能；品性
calmly,平靜地；沈著地
camouflage,掩飾；隱瞞
capacity,能力；接受力
caption,標題；解說詞
capture,捕捉；捕獲
care,照管；管理
carnivore,肉食性動物
carnivorous,肉食性的
carry,支撐；支援
carve,切割
cast,投射；投影
catastrophe,大災難；大變動
catastrophic,災難性的
categorize,歸類；分類
category,類別；範疇
caution,警告；告戒
cease,停止；結束
celebrate,讚美；歌頌
celebrated,著名的；馳名的
celestial,天空的；天上的
cement,黏結；膠合
census,人口普查
chancy,危險的 ; 靠不住的
character,品性；性格
characteristic,特徵；特色
characteristic,特有的；獨特的
characteristically,獨有地；獨特地
charge,襲擊；攻擊
cheap,便宜的；廉價的
check,抑制；制止
chief,主要的
chiefly,主要地；尤其
chill,冷凍；冷卻
chisel,鑿 ; 雕琢
chronically,長期地；經常地
chronicle,記述
chronologically,按時間順序
chronology,大事年表
circumstances,條件
cite,引證；引用
clamor for,喧鬧；叫嚷
clasp,緊握；抓住
classic,典型的
classify,分類
climate,氣候
cling to,黏著；纏住
clog,阻塞；填塞
clue,線索；訊息
cluster,成群
coalition,聯盟；聯合
coarse,粗糙的
coat,皮毛
coherent,有邏輯的；一致的
coin,創造；杜撰
coincide with,巧合；一致
collaborate,協作；合作
collaborative,合作的；社區的
collapse,崩潰
collate,仔細收集參照
colleague,同事；同僚
collective,集體
collectively,共同地
collide with,衝撞；撞擊
collision,碰撞；撞擊
colloquial,會話的；口語的
colonize,殖民；定居
colony,集群；群體 ; 殖民地
colossal,巨大的
combine,結合；兼有
combust,燃燒
come up with,提出；產生
comic,滑稽的；好笑的
command,掌握；控制
commanding, 威嚴的；堅強的
commensurate with,相當的；相稱的
comment,評論；評注
commercial,商業的；商務的
commodity,商品；日用品
commonly,通常地；經常地
commonplace,平凡的；普通的
compact,壓縮；壓實
comparable,可比的；相當的
comparably,可比地；相當地
comparative,相對的
compatible,相容的
compel,強製；強迫
compelled,強制的
compelling,令人嘆為觀止的；強迫的
compensate,賠償；補償
competent,有能力的；能勝任的
competently,熟練地；內行地
competition,競爭；比賽
compile,搜集；彙編
complacency,自滿
completely,完全地；十足地
complex,複雜的；綜合的
comply with,遵守；服從
component,成分；部分
compose,創作；作曲
composition,構成；組成
compound,附加
comprehensible,能理解的
comprise,包含；包括
compulsory,強製的；義務的
compute,計算；估計
concealed,隱藏著的
conceivable,可想像的
conceive,設想；構想
concentrate,集中；積聚
concentration,集中；聚集
concise,簡明的；扼要的
concisely,簡明地；簡潔地
conclusion,結束；結尾
conclusive,最後的
concrete,具體的；特定的
conducive to,有益於
conduct,執行 (重音第二音節)
confer,協商
configuration,架構；形狀
confine,限制；局限
confirm,證實；確認
conflicting,衝突的；抵觸的
conform,一致；符合
congest,擁擠；積聚
congregate,聚集；集合
conjectural,猜測的；推測的
congestion,擁擠 ; 擁塞
connected to,連結
conscientiously,謹慎地；精心地
consciously,自覺地；有意識地
consecutive,連貫的；連續地
consensus,共識
consequence,結果；後果
consequently,因此
conserve,儲存；保護
considerable,很重要的；很大的
considerably,相當大地；很大地
considerate,體諒的；關心的
consist of,由．．．組成
consistent,持續的
consistently,一致地；始終地
conspicuous,顯著的
constantly,不斷地；經常地
constituent,成分；要素
constitute,構成；組成
constrain,強制；抑制
constraint,約束；限制
consume,消費；吃
consumption,消費；消耗
contaminate,污染；感染
contamination,污染；沾染
contemporary,當代的；現有的
contention,爭論；論戰
contest,比賽；競賽
context,事件的背景 ; 情境
continually,持續地
continuous,連續的
continuously,連續地；不斷地
contractions,縮短；收縮
contradictory,矛盾的；對立的
contrary to,相反的；對立的
contrast,對比 ; 反差
contrive,設計；造出
controversial,有爭議的
controversy,爭議
convene,集合；集會
conventional,常規的；道統的
convergence,聚集
convert,轉變；變換
convey,傳送；傳播
coordinate,協調；配合
cope,適應
coping with,配合
copious,豐富的；大量的
cordial,親切的；愉快的
core,核心；中心
correct,正確的；準確的
correctly,正確地；恰當地
corresponding,對應的
correspondingly,相應地；對應地
corroborate,確証；證實
corrode,鏽蝕；磨損
consequently,因此
constraints,限制
costly,昂貴的；豪華的
contentious,好爭吵的 ; 愛爭論的
continuous,連續的
count,有價值；有分量
count on,依靠
counter,反駁
counteract,抵消；反作用
counterpart,正負兩分之一 ; 極相似的
countless,無數的；許多的
couple,對；雙
couple with,加上
courteous,有禮貌的；謙恭的
craft,手藝
cramped,狹窄的
create,引起；產生
credible,可信的
crisscross,穿梭；交錯往來
criteria,標準
critical,關鍵性的；決定性的
crucial,重要的
crude,粗製的；天然的；未加工的
cue,線索 ; 信號
culmination,高點 ; 高峰
cultivate,栽培；在農地工作
culture,文化；衣冠文物
cumbersome,麻煩的；笨重的
curative,治病的；療效的
curb,控制；約束
curiously,稀奇地；奇妙地
currency,通貨；貨幣
current,目前的; 當下的
cursory,草率的 ; 粗略的
custom,風俗；習慣
cut,降低
dam,築壩；修堤；阻擋
damage,損害；破壞
damaging,有害的；不利的
dampen,使潮濕
daring,勇敢的；大膽的
dawn,初始；開端
deal with,處理；應付
debate,討論；辯論
decay,腐爛；變質
deceive,誤導; 欺騙
decelerate,減速；降速
deceptive,欺騙的；虛偽的
deceptively,騙人地；虛偽地
decimation,每十個殺ㄧ個 ; 多數的殺害
decipher,破譯；譯解
decisive,決定性的
decline,拒絕；謝絕
decompose,分解 ; 衰退
decorate,裝潢 ; 佈置
deem,認為；相信
deep,深刻的；深切的
defeat,戰勝；擊敗
definite,明確的；規定的
definitely,確定地；明確地
deflect,使偏離；使轉向
deft,熟練的；靈巧的
deftly,熟練地；靈巧地
degrade,降低 ; 退化
dehydrate,使脫水；使乾燥
delegate,代表
delete,刪除；消去
deliberate,審慎的；仔細的
deliberately,蓄意地；審慎地
delicate,脆弱的；嬌嫩的
delicately,精致地；審慎地
delineate,描繪；描述
demand,要求；需求
demise,滅亡；死亡
demonstrate,表明；證實
demonstration,論證；證明
denote,表示；指示
dense,稠密的；濃濃的
densely,緊密地；稠密地
depend on,依靠；倚賴
depict,描繪；描述
depiction,描繪; 插畫
deplete,竭盡；用盡
deposit,放置；產卵
depress,壓低；使沮喪
deprive,剝奪；使喪失
derive,得到
derived from,基於
descent,血統；世系
deserted,虛無的
design,式樣；圖案
designate,指定 ; 任命
desolate,荒蕪的；荒涼的
detect,查明；查出
detectable,可察覺的；易發現的
detecting,探測
deter,阻止
deteriorate,惡化；變質
deterioration,惡化
determinants,決定因素
determine,評估 ; 計算
detrimental,不利的；有害的
devastated,毀壞的；被破壞的
devastation,破壞
developing,發展的；演化的
deviate,脫離(常規)
device,裝置；設備
devise,設計；發明
devoid,缺乏；沒有
devoid of,缺少
devote,致力於；獻身於
devote to,致力於；獻身於
devoted,忠實的；虔誠的
diagnose,診斷；分析
dialogue,對話；對白
dictate,指示；決定
diet,飲食；節實
differential,不均衡的 ; 差異的
diffuse,擴散；傳播
diffusion,擴散
dilemma,矛盾
dim,隱約的；模糊的
diminish,減少 ; 下降
diminutive,小的；小型的
dimly,朦朧地；暗淡地
dip,浸；沾
dire,可怕的；極度的
direct,指導；指揮
directly,直接地；即刻地
disaster,災難
discard,丟棄；拋棄
discern,辯明；識別
discerning,有眼光的；有辨別力的
disciple,信徒；弟子
discipline,學科；細目
discontent,不滿意；不滿 (名詞同義字是unhappiness)
discord,不調合；不一致
discover,發現 ; 了解
discrepancy,差異；不一致
disguised,隱藏的
disintegrate,分裂；瓦解
dismiss,駁回
disorient,使迷惑；使迷失方向
disparaging,貶低的；毀謗的
dispatch,派遣；發送
dispense,分散
dispersal,散播
dispersed,分散的
displace,換置 ; 取代
display,展現；陳列
dispose of,處理；除掉
disproportionately,不勻稱地；不相稱地
dispute,爭論
dispute,質疑
disregard,忽視；不注意
disrupt,干擾
disseminate,散佈；傳播
dissipate,驅散；使消失
distant,遠離的；久遠的
distinct,清晰的；不同的
distinction,差異
distinctive,特殊的
distinct,清楚的；明顯的
distinguish,區分；辨別
distinguished,著名的；卓越的
distributed,散開的; 分散的
district,地區；街區
disturb,攪動；滋攪
dive,跳水；潛水
divergence,差異；變化
divergent,分歧的
diverse,多種多樣的；不一樣的
diversity,多樣化；各式各樣
divert,改變方向
divine,神聖的；非凡的
do away with,廢除；去掉
document,文件
domain,領域；範圍
domesticate,馴養；馴服
dominant,主要的；佔優勢的
dominate,支配；控制
donate,捐贈；贈送
donation,捐款；捐物
donor,捐獻者；贈與人
dormancy,休眠狀態
dormant,休眠的；蟄伏的
dot,點綴；分散於
draft,草擬；設計
drama,戲劇；劇本；
dramatic,戲劇性的；顯著的
dramatically,戲劇性地；顯著地
drastic,激烈的；猛烈的
drastically,激烈地；猛烈地
draw,吸引；提取
drawback,缺點；弊端
dread,恐懼；畏懼
dreadfully,極端地
drift,漂泊;移動
drive,運動;競賽
drought,旱災；旱季
duplicate,複製；複寫
duplicate,相同的；雙重的
duplication,複製；複製品
durability,經久，耐久
durable,持久的；耐用的
duration,持續時間；期間
during,在．．．期間；在．．．時候
dust,塵土；灰塵
dwell,居住；居留
dwelling,住處；寓所
dwindle,減少 ; 衰落
eager,熱心的
early,早期的；早先的
earnest,認真的；誠摯的
earnestly,誠摯地；殷切地
earth,土；泥
ease into,漸漸進入
eccentric,怪癖的；古怪的
eccentricity,怪癖；古怪
ecologically,生態上；環境上
economical,節約的；經濟的
eerie,詭異的
effect,影響；效果
effectively,有效地；有力地
efficiency,效力
efficient,有效的；有力的
effort,努力；嘗試
eject,排斥
elaborate,複雜的；精心製作的
elaborately,詳盡地；精心地
elastic,有彈性的；可塑的
elect,選擇；推選
elegant,優雅的
elevate,提升；提升
elevation,高度；海拔
elicit,引出
eligible,合格的；適宜的
elongate,延長; 延伸
eloquent,善辯的；有口才的
elsewhere,在別處
elusive,無從捉摸的
emanate,散放
embarrass,使困窘；使為難
embellishments,裝飾 ; 粉飾
embody,體現；具體化
embrace,包括；包含；接受；信奉
embraced,歡迎
emerge,浮現；出現
emergence,出現；浮現
emigrate,外移
eminent,傑出的；著名的
emit,放射；散發
emit,排放 ; 釋出
emitting,生產，發行
emotion,感情；情感
emphasize,著重；強調
empirical,觀察的；經驗的
employ,僱佣；應用
emulate,模仿；仿效
enable,使能夠；使可能
enact,頒佈；規定
enactment,演出；作秀
enchantment,魅力
encompass,包含
encourage,鼓勵；促進
encroach,侵襲 ; 侵犯
end,末端；目的
endanger,危害；危及
endeavor,努力；盡力
endorse,認可；擔保
endow,賦予
endowment,天賦；天資
endure,忍受；求生存
enduring,持久的；耐用的
energetic,有力的；精力旺盛的
energetically,有力地；精力飽滿地
engage in,從事；忙於
engaged,僱佣
enhance,提升；增進
enjoyment,樂趣；享樂
enlist,徵募；入伍
enormous,巨大的；非凡的
ensure,保證
entail,引起；關係到
enthusiasm,熱情；積極性
enthusiastically,熱心地；熱情地
entitled to,賦予權利
entire,全部的
entirely,完全地；徹底地
entitle,稱作；取名
entity,實體；存在
entrepreneur,創業者
envelope,封皮；包層
envision,想像 ; 展望未來
epoch,時代；紀元
equal to,勝任的；能應付的
equally,相同地；同等地
equilibrium,平衡；均衡
equipment,設備；裝置
equivalent,相等的 ; 
equivocally,曖昧地；摸棱兩可地
era,時期
eradicate,除去；消除
erect,豎起的；直觀的
erect,樹立；建立
erection,建立；豎立
erratically,無規律地；不穩定地
erroneous,不正確的；錯誤的
erupt,噴出；爆發
escalate,逐步上升；逐步升級
especially,特別地；主要地
essence,基本
essential,基本的
essentially,基本上；必然地
establish,設立；創作
estate,房地產；財產
esteem,尊敬；尊重
estimated,鑑定
evacuate,撤離；疏散
evaluate,評估
eventually,最後地
ever-shifting,不斷改變的
evidence,跡象；預示
evidence,顯示；證明
evident,明顯的
evolution,進化
evolve,發展；演化
exact,正確的；精確的
exaggeration,誇張；誇大
examine,考察；探索
excavate,挖掘；開鑿
excavating,挖掘
